date,hits,keyword
2010-04-22,5.78980812812467,2015
2010-04-23,6.39926161529569,2015
2010-04-24,5.78980812812467,2015
2010-04-25,5.78980812812467,2015
2010-04-26,10.3607092819073,2015
2010-04-27,7.00871510246671,2015
2010-04-28,5.48508138453916,2015
2010-04-29,7.92289533322324,2015
2010-04-30,7.31344184605222,2015
2010-05-01,4.87562789736815,2015
2010-05-02,7.61816858963773,2015
2010-05-03,7.31344184605222,2015
2010-05-04,6.39926161529569,2015
2010-05-05,5.78980812812467,2015
2010-05-06,6.39926161529569,2015
2010-05-07,5.78980812812467,2015
2010-05-08,4.87562789736815,2015
2010-05-09,6.09453487171018,2015
2010-05-10,6.09453487171018,2015
2010-05-11,7.31344184605222,2015
2010-05-12,7.31344184605222,2015
2010-05-13,8.22762207680874,2015
